iter	Passed	Remaining
367	1526	2621
368	1530	2617
369	1534	2612
370	1538	2608
371	1542	2603
372	1546	2599
373	1550	2595
374	1554	2590
375	1558	2585
376	1562	2581
377	1566	2578
378	1570	2573
379	1574	2569
380	1578	2564
381	1582	2560
382	1586	2555
383	1590	2551
384	1594	2547
385	1599	2544
386	1603	2539
387	1607	2535
388	1611	2531
389	1616	2528
390	1620	2523
391	1623	2518
392	1628	2515
393	1632	2510
394	1635	2505
395	1639	2501
396	1643	2496
397	1646	2491
398	1650	2485
399	1654	2481
400	1657	2476
401	1661	2471
402	1664	2465
403	1668	2460
404	1671	2455
405	1675	2451
406	1679	2446
407	1682	2441
408	1686	2436
409	1689	2431
410	1693	2426
411	1696	2421
412	1700	2416
413	1703	2411
414	1707	2407
415	1711	2402
416	1715	2397
417	1718	2392
418	1722	2388
419	1726	2384
420	1730	2380
421	1734	2375
422	1738	2371
423	1742	2366
424	1745	2361
425	1749	2357
