iter	Passed	Remaining
456	830	986
457	831	983
458	832	981
459	833	978
460	835	976
461	836	973
462	837	971
463	838	968
464	840	966
465	841	964
466	842	961
467	843	959
468	845	956
469	846	954
470	847	951
471	848	949
472	849	946
473	851	944
474	852	942
475	853	939
476	855	937
477	856	935
478	857	932
479	858	930
480	860	928
481	861	925
482	862	923
483	863	920
484	864	918
485	866	916
486	867	913
487	868	911
488	869	908
489	871	907
490	872	904
491	873	902
492	875	899
493	876	897
494	877	895
495	878	892
496	879	890
497	881	888
498	882	885
499	883	883
500	884	881
501	886	879
502	887	876
503	888	874
504	889	872
505	891	869
506	892	867
507	893	865
508	894	863
509	895	860
510	897	858
511	898	856
512	899	853
513	900	851
514	902	849
515	903	847
516	904	845
517	905	842
518	907	840
519	908	838
520	909	836
521	910	834
522	912	831
523	913	829
524	914	827
525	915	825
526	917	823
527	918	821
528	920	819
529	921	817
530	922	814
531	923	812
532	924	810
533	926	808
534	927	806
535	928	803
536	929	801
537	931	799
538	932	797
539	934	795
540	935	793
541	936	791
542	938	789
543	939	787
544	940	785
545	941	783
546	943	781
547	944	778
548	945	776
549	947	774
550	948	772
551	949	770
552	951	768
553	952	766
554	953	764
555	954	762
556	955	760
557	957	758
558	958	756
559	959	753
560	960	751
561	961	749
562	963	747
563	964	745
564	965	743
565	967	741
566	968	739
567	969	737
568	970	735
569	972	733
570	973	731
571	974	729
572	976	727
573	977	725
574	979	723
575	980	721
576	981	719
577	982	717
578	984	715
579	985	713
580	986	711
581	987	709
582	989	707
583	990	705
584	992	703
585	993	701
586	994	699
587	995	697
588	997	695
589	998	693
590	999	691
591	1000	689
592	1002	687
593	1003	685
594	1004	683
595	1006	682
596	1007	680
597	1008	678
598	1010	676
599	1011	674
600	1012	672
601	1014	670
602	1015	668
603	1016	666
604	1017	664
605	1018	662
606	1020	660
607	1021	658
608	1023	656
609	1024	654
610	1025	653
611	1027	651
612	1028	649
613	1029	647
614	1030	645
615	1031	643
616	1033	641
617	1034	639
618	1035	637
619	1037	635
620	1038	634
621	1040	632
622	1041	630
623	1042	628
624	1044	626
625	1045	624
626	1046	622
627	1047	620
628	1049	618
629	1050	616
630	1051	615
631	1053	613
632	1054	611
633	1055	609
634	1057	607
635	1058	605
636	1059	603
637	1060	601
638	1061	599
639	1063	598
640	1064	596
641	1066	594
642	1067	592
643	1068	590
644	1070	588
645	1071	587
646	1072	585
647	1073	583
648	1075	581
649	1076	579
650	1077	577
651	1079	575
652	1080	574
653	1081	572
654	1083	570
655	1084	568
656	1085	566
657	1086	564
658	1088	563
659	1089	561
660	1090	559
661	1091	557
662	1093	555
663	1094	553
664	1095	552
665	1097	550
666	1098	548
667	1099	546
668	1100	544
669	1102	542
670	1103	541
671	1104	539
672	1106	537
673	1107	535
674	1108	533
675	1110	532
676	1112	530
677	1113	528
678	1115	527
679	1116	525
680	1117	523
681	1118	521
682	1120	519
683	1121	518
684	1122	516
685	1123	514
686	1125	512
687	1126	510
688	1127	509
689	1129	507
690	1130	505
691	1131	503
692	1133	502
693	1134	500
694	1135	498
695	1136	496
696	1138	494
697	1139	492
698	1140	491
699	1142	489
700	1143	487
701	1144	485
702	1146	484
703	1147	482
704	1148	480
705	1149	478
706	1151	477
707	1152	475
708	1153	473
709	1154	471
710	1156	469
711	1157	468
712	1158	466
713	1160	464
714	1161	462
715	1162	461
716	1163	459
717	1165	457
718	1166	455
719	1167	454
720	1168	452
721	1169	450
722	1171	448
723	1172	446
724	1173	445
725	1175	443
726	1176	441
727	1177	440
728	1179	438
729	1180	436
730	1181	434
731	1182	433
732	1183	431
733	1185	429
734	1186	427
735	1187	425
736	1188	424
737	1190	422
738	1191	420
739	1192	419
740	1194	417
741	1195	415
742	1196	413
743	1198	412
744	1199	410
745	1200	408
746	1201	407
747	1203	405
748	1204	403
749	1205	401
750	1207	400
751	1208	398
752	1209	396
753	1210	395
754	1212	393
755	1213	391
756	1215	390
757	1217	388
758	1218	386
759	1219	385
760	1221	383
761	1222	381
762	1224	380
763	1225	378
764	1226	376
765	1228	375
766	1229	373
767	1230	371
768	1231	370
769	1233	368
770	1234	366
771	1235	364
772	1236	363
773	1238	361
774	1239	359
775	1240	358
776	1241	356
777	1242	354
778	1244	352
779	1245	351
780	1246	349
781	1248	347
782	1249	346
783	1250	344
784	1252	342
785	1253	341
786	1254	339
787	1255	337
788	1257	336
789	1258	334
790	1259	332
791	1260	331
792	1261	329
793	1263	327
794	1264	326
795	1265	324
796	1267	322
797	1268	321
798	1269	319
799	1270	317
800	1271	315
801	1273	314
802	1274	312
803	1275	310
804	1276	309
805	1278	307
806	1279	306
807	1280	304
808	1282	302
809	1283	301
810	1284	299
811	1285	297
812	1287	296
813	1288	294
814	1289	292
815	1290	291
816	1292	289
817	1293	287
818	1294	286
819	1296	284
820	1297	282
821	1298	281
822	1299	279
823	1301	277
824	1302	276
825	1303	274
826	1305	273
827	1306	271
828	1307	269
829	1308	268
830	1310	266
831	1311	264
832	1312	263
833	1314	261
834	1315	259
835	1316	258
836	1318	256
837	1319	255
838	1320	253
839	1322	251
840	1323	250
841	1324	248
842	1325	246
843	1326	245
844	1328	243
845	1329	241
846	1330	240
847	1331	238
848	1333	237
849	1334	235
850	1335	233
851	1337	232
852	1338	230
853	1339	229
854	1340	227
855	1342	225
856	1343	224
857	1344	222
858	1346	220
859	1347	219
860	1348	217
861	1349	216
862	1351	214
863	1352	212
864	1353	211
865	1355	209
866	1356	208
867	1357	206
868	1358	204
869	1360	203
870	1361	201
871	1362	200
872	1363	198
873	1365	196
874	1366	195
875	1367	193
876	1368	191
877	1370	190
878	1371	188
879	1372	187
880	1374	185
881	1375	184
882	1376	182
883	1377	180
884	1379	179
885	1380	177
886	1381	176
887	1382	174
888	1384	172
889	1385	171
890	1386	169
891	1389	168
892	1391	166
893	1392	165
894	1393	163
895	1394	161
896	1396	160
897	1397	158
898	1398	157
899	1399	155
900	1401	153
901	1402	152
902	1403	150
903	1405	149
904	1406	147
905	1407	146
906	1409	144
907	1410	142
908	1411	141
909	1412	139
910	1413	138
911	1414	136
912	1416	134
913	1417	133
914	1419	131
915	1420	130
916	1421	128
917	1423	127
918	1424	125
919	1425	123
920	1426	122
921	1428	120
922	1429	119
923	1430	117
924	1432	116
925	1433	114
926	1435	113
927	1436	111
928	1437	109
929	1438	108
930	1439	106
931	1440	105
932	1442	103
933	1443	102
934	1444	100
935	1446	98
936	1447	97
937	1448	95
938	1450	94
939	1451	92
940	1452	91
941	1453	89
942	1454	87
943	1455	86
944	1456	84
945	1458	83
946	1459	81
947	1460	80
948	1461	78
949	1463	77
950	1464	75
951	1465	73
952	1466	72
953	1467	70
954	1469	69
955	1470	67
956	1471	66
957	1472	64
958	1473	63
959	1475	61
960	1476	59
961	1477	58
962	1479	56
963	1480	55
964	1481	53
965	1482	52
966	1483	50
967	1484	49
968	1486	47
969	1487	45
970	1488	44
971	1489	42
972	1490	41
973	1492	39
974	1493	38
975	1495	36
976	1496	35
977	1497	33
978	1498	32
979	1499	30
980	1501	29
981	1502	27
982	1503	26
983	1504	24
984	1506	22
985	1507	21
986	1509	19
987	1510	18
988	1511	16
989	1512	15
990	1513	13
991	1515	12
992	1516	10
993	1517	9
994	1518	7
995	1519	6
996	1520	4
997	1522	3
998	1523	1
999	1524	0
