iter	RMSE
0	122.5414282
1	118.2942725
2	114.3367093
3	110.6289796
4	107.127128
5	103.9561753
6	101.0177743
7	97.97538507
8	95.37790511
9	92.82268961
10	90.2900078
11	87.99253264
12	85.72856174
13	83.59987731
14	81.73626274
15	80.00174846
16	78.21854404
17	76.61001928
18	75.11104233
19	73.69898439
20	72.29798352
21	70.9924462
22	69.79746688
23	68.65339043
24	67.66712524
25	66.66311512
26	65.70785749
27	64.9074898
28	64.10885414
29	63.33015157
30	62.42016765
31	61.70488851
32	61.01414813
33	60.29980633
34	59.67986964
35	59.0334955
36	58.4434254
37	57.71364478
38	57.18112986
39	56.73002235
40	56.14279665
41	55.71055967
42	55.18377458
43	54.71242399
44	54.37921238
45	53.89419897
46	53.51874163
47	53.09945796
48	52.73384229
49	52.41008119
50	52.00489354
51	51.63632306
52	51.32194873
53	51.06510493
54	50.76112618
55	50.47444496
56	50.2325399
57	50.00210705
58	49.73596997
59	49.29972251
60	49.07573439
61	48.84265763
62	48.66393699
63	48.47476579
64	48.14327871
65	47.93928966
66	47.794702
67	47.64070321
68	47.47025534
69	47.34236131
70	47.23582172
71	47.06589613
72	46.88759856
73	46.69354322
74	46.56283544
75	46.43585569
76	46.30457941
77	46.21182701
78	46.06912281
79	45.99306923
80	45.85720062
81	45.7514993
82	45.66817275
83	45.53319571
84	45.41237163
85	45.31165317
86	45.20106942
87	44.96141982
88	44.82507685
89	44.76025786
90	44.69440981
91	44.58476695
92	44.49355159
93	44.40907451
94	44.35931074
95	44.13729789
96	44.02869619
97	43.94988874
98	43.85823644
99	43.7680137
100	43.70481064
101	43.51043499
102	43.36064887
103	43.26994129
104	43.088315
105	43.0456232
106	42.97566696
107	42.89180736
108	42.80480985
109	42.68186144
110	42.58537015
111	42.53280981
112	42.4763399
113	42.42100192
114	42.34683522
115	42.29823351
116	42.28185886
117	42.26572255
118	42.13396383
119	42.08364558
120	42.0313495
121	41.96272429
122	41.89886251
123	41.82683141
124	41.74276486
125	41.62369272
126	41.52238999
127	41.45092538
128	41.24660945
129	41.16240164
130	40.99821548
131	40.95198849
132	40.87678702
133	40.84085757
134	40.74690171
135	40.69861076
136	40.68744693
137	40.65991752
138	40.54339493
139	40.38012778
140	40.35670034
141	40.29125224
142	40.12798943
143	40.08549254
144	40.05220836
145	40.04113885
146	40.01749719
147	39.97840631
148	39.93226035
149	39.84382812
150	39.77581653
151	39.72032492
152	39.69136585
153	39.65331972
154	39.59201149
155	39.46217325
156	39.43728112
157	39.42732135
158	39.38834799
159	39.37432411
160	39.36404605
161	39.35431034
162	39.3356041
163	39.28545973
164	39.25648592
165	39.22338269
166	39.21500221
167	39.1763423
168	39.09956984
169	39.06504898
170	39.01569687
171	38.9568258
172	38.92664452
173	38.91891804
174	38.89626778
175	38.84257225
176	38.8135632
177	38.79564107
178	38.78856598
179	38.74186104
180	38.73428322
181	38.69377193
182	38.6655375
183	38.64256211
184	38.63712982
185	38.6142044
186	38.56330003
187	38.54093663
188	38.5298003
189	38.49080009
190	38.42937534
191	38.41816142
192	38.38019088
193	38.33326219
194	38.25477312
195	38.23044696
196	38.16728521
197	38.14731649
198	38.14027154
199	38.12842328
200	38.07066791
201	38.03370396
202	38.02265935
203	37.98417881
204	37.9590887
205	37.93547238
206	37.91870277
207	37.91410734
208	37.87747502
209	37.84904938
210	37.84213644
211	37.83131609
212	37.82477177
213	37.82083379
214	37.81694766
215	37.80220991
216	37.79794348
217	37.67437515
218	37.63856528
219	37.63423471
220	37.60257451
221	37.59916542
222	37.5919057
223	37.52161698
224	37.5178411
225	37.48073139
226	37.38901922
227	37.38002401
228	37.37630839
229	37.31671617
230	37.23439979
231	37.211001
232	37.1690002
233	37.15754199
234	37.11469414
235	37.09843268
236	37.07074353
237	37.03936992
238	36.98714319
239	36.96289495
240	36.88423548
241	36.88001574
242	36.87141856
243	36.82332978
244	36.75351618
245	36.71211722
246	36.66463903
247	36.63084924
248	36.62791493
249	36.62512546
250	36.61329651
251	36.59541083
252	36.58947239
253	36.54743077
254	36.54487424
255	36.46791267
256	36.38101579
257	36.33861361
258	36.26650568
259	36.2098274
260	36.17700228
261	36.15978218
262	36.0775846
263	36.04776087
264	36.02491801
265	35.98863596
266	35.96142764
267	35.95271924
268	35.93436908
269	35.90323316
270	35.88594489
271	35.82209687
272	35.78899581
273	35.71637423
274	35.69708792
275	35.6758041
276	35.66633307
277	35.6361913
278	35.58893062
279	35.57395543
280	35.56189733
281	35.53585433
282	35.52408542
283	35.49854561
284	35.42974316
285	35.37536341
286	35.32417126
287	35.27144115
288	35.21368706
289	35.20764835
290	35.18367013
291	35.14797228
292	35.12670572
293	35.07682403
294	35.05509268
295	35.02550382
296	34.99624157
297	34.97172795
298	34.94302403
299	34.9406347
300	34.90242102
301	34.90085725
302	34.84919277
303	34.84669351
304	34.81298185
305	34.80113149
306	34.78375855
307	34.76779445
308	34.73953988
309	34.72200698
310	34.68715938
311	34.63611895
312	34.62481403
313	34.5904408
314	34.54275285
315	34.54035943
316	34.51743067
317	34.47614136
318	34.43643083
319	34.39976671
320	34.36526343
321	34.3136295
322	34.29167279
323	34.27493609
324	34.23620003
325	34.21600337
326	34.19431071
327	34.15249004
328	34.1503173
329	34.14725268
330	34.11205636
331	34.09494668
332	34.0622399
333	34.0527442
334	34.04423663
335	34.02199662
336	34.00627223
337	33.97662478
338	33.97336163
339	33.97127663
340	33.96935597
341	33.94911451
342	33.93216792
343	33.92910574
344	33.91335711
345	33.87959506
346	33.8777485
347	33.84702191
348	33.82785995
349	33.81343605
350	33.78099117
351	33.76363592
352	33.75108986
353	33.74038298
354	33.72042064
355	33.7040218
356	33.67839861
357	33.64856945
358	33.62164527
359	33.61993067
360	33.59383948
361	33.58375774
362	33.57692281
363	33.54248847
364	33.53261523
365	33.503152
366	33.46743376
367	33.44871667
368	33.4235294
369	33.42250826
370	33.39547283
371	33.37956779
372	33.35811849
373	33.33485756
374	33.3234146
375	33.28637663
376	33.25488592
377	33.22302535
378	33.1988505
379	33.18750142
380	33.15975756
381	33.13285652
382	33.11101618
383	33.08481872
384	33.07008473
385	33.0489677
386	33.02009214
387	33.0014637
388	32.96656845
389	32.94655163
390	32.93039414
391	32.8988052
392	32.87530576
393	32.85841528
394	32.84326961
395	32.81865669
396	32.81774051
397	32.7962647
398	32.77516854
399	32.77368667
400	32.75147621
401	32.73041267
402	32.72931028
403	32.70946658
404	32.69159101
405	32.6745265
406	32.65679985
407	32.63072565
408	32.59792128
409	32.58258276
410	32.56559943
411	32.54923662
412	32.52318359
413	32.52239992
414	32.50777271
415	32.49196653
416	32.47874777
417	32.45713228
418	32.43736819
419	32.42468791
420	32.40620172
421	32.39427156
422	32.37039467
423	32.35403496
424	32.33387642
425	32.31238912
426	32.27967376
427	32.27781658
428	32.26123757
429	32.24159122
430	32.22829383
431	32.22697132
432	32.20249839
433	32.20172029
434	32.18468668
435	32.18365265
436	32.16687879
437	32.1421085
438	32.13332331
439	32.12328192
440	32.1143721
441	32.10611392
442	32.09059355
443	32.07372597
444	32.05582403
445	32.03770268
446	32.0242603
447	32.00525039
448	31.98835824
449	31.96949194
450	31.96225783
451	31.95202175
452	31.91926159
453	31.8988787
454	31.87713685
455	31.86130784
456	31.84844838
457	31.82388021
458	31.80712292
459	31.78393984
460	31.76964918
461	31.76387014
462	31.74766462
463	31.73256059
464	31.71651056
465	31.69509183
466	31.68861487
467	31.67474005
468	31.67084731
469	31.66337271
470	31.64860055
471	31.63812556
472	31.62373363
473	31.60776146
474	31.59539677
475	31.57334263
476	31.55671196
477	31.54099158
478	31.53301525
479	31.51704784
480	31.5151337
481	31.50128835
482	31.48323857
483	31.46284862
484	31.44358451
485	31.42720804
486	31.42622847
487	31.40078653
488	31.37701804
489	31.3534521
490	31.34071055
491	31.33096336
492	31.31805808
493	31.29804721
494	31.28685973
495	31.26199457
496	31.26103492
497	31.23779033
498	31.2240073
499	31.20133409
500	31.19858803
501	31.18721597
502	31.16652825
503	31.15674127
504	31.14692201
505	31.13258125
506	31.123007
507	31.10622371
508	31.08527222
509	31.07782276
510	31.06502764
511	31.05179954
512	31.04061826
513	31.04005015
514	31.02238753
515	31.00940055
516	30.98648108
517	30.97492486
518	30.95490144
519	30.94014502
520	30.93433778
521	30.92291097
522	30.90442767
523	30.88008133
524	30.87169655
525	30.86505233
526	30.85627266
527	30.84820651
528	30.83459424
529	30.82390393
530	30.80958242
531	30.79968182
532	30.78753489
533	30.77582051
534	30.75780363
535	30.74638905
536	30.72776074
537	30.70683074
538	30.69335576
539	30.67529998
540	30.65759172
541	30.64079241
542	30.62449476
543	30.61988498
544	30.61284434
545	30.60246897
546	30.59380492
547	30.57764349
548	30.56535403
549	30.55900734
550	30.54748254
551	30.53526461
552	30.52866709
553	30.51662249
554	30.50337216
555	30.48764804
556	30.48210164
557	30.45763662
558	30.43366657
559	30.43019323
560	30.41394879
561	30.40266458
562	30.39008222
563	30.37688629
564	30.35280261
565	30.34597308
566	30.33055837
567	30.32254884
568	30.31500079
569	30.30111897
570	30.28476594
571	30.27357155
572	30.26367244
573	30.26261063
574	30.25870197
575	30.25023583
576	30.23824745
577	30.2315231
578	30.22401324
579	30.20805735
580	30.19711318
581	30.17546415
582	30.16597556
583	30.14623937
584	30.13961871
585	30.13054134
586	30.1193584
587	30.11328532
588	30.09839927
589	30.08848888
590	30.07592495
591	30.06224943
592	30.05678253
593	30.04588503
594	30.03898522
595	30.03846689
596	30.03116305
597	30.02370419
598	30.00816457
599	30.00268456
600	29.99046391
601	29.9746448
602	29.97395187
603	29.96308308
604	29.96027515
605	29.94700891
606	29.93355821
607	29.92398767
608	29.91924826
609	29.9147692
610	29.90296452
611	29.89181235
612	29.87453242
613	29.86697997
614	29.8623393
615	29.85134966
616	29.83619041
617	29.82497267
618	29.81787764
619	29.80582908
620	29.79644538
621	29.79583742
622	29.78784649
623	29.77303035
624	29.76159055
625	29.75917452
626	29.7545162
627	29.74332307
628	29.72007299
629	29.71440305
630	29.70652804
631	29.69322574
632	29.68560358
633	29.67500908
634	29.66499117
635	29.65260292
636	29.64570574
637	29.63668478
638	29.62542739
639	29.60399967
640	29.58688105
641	29.57534468
642	29.55475856
643	29.53907614
644	29.52878077
645	29.51952901
646	29.5016862
647	29.49251253
648	29.47685526
649	29.46464934
650	29.45533798
651	29.44631035
652	29.4270464
653	29.41882085
654	29.41258135
