jing,ceng,wei,DEPT,SP,PE,CAL,GR,U,TH,K,AC,CNL,DEN,RLLS,RLLD,LABEL
73,52,盒8上,4005.5,51.7,1.8,25.8,31.9,0.6,6.7,0.9,216.3,7.7,2.5,66,69.7,4
73,52,盒8上,4005.7,51.6,1.8,25.8,30.9,0.7,6.4,0.9,219.5,7.3,2.5,62.5,65.7,4
73,52,盒8上,4005.8,51.7,1.8,25.9,31.7,0.7,6,0.9,221,6.6,2.5,58.8,63.8,4
73,52,盒8上,4005.9,51.8,1.9,26,32.6,0.8,5.6,0.8,220.6,5.7,2.5,57.6,66.5,4
73,52,盒8上,4006,52,1.8,26,32.8,1,5.1,0.8,218.8,5.2,2.5,60,73.2,4
73,52,盒8上,4006.2,52.3,1.8,25.9,32.7,1.2,4.7,0.7,216.1,5.1,2.5,65.9,82,4
73,52,盒8上,4006.3,52.7,1.8,25.8,33.2,1.3,4.4,0.7,213.6,5.2,2.5,72.7,89,4
73,52,盒8上,4006.4,53.2,1.9,25.7,33.9,1.5,4.2,0.6,212,5.4,2.5,78,92,4
73,52,盒8上,4006.5,53.7,1.9,25.7,34.5,1.5,4.2,0.6,211.7,5.5,2.5,79.9,90.6,4
73,52,盒8上,4006.7,54.2,1.9,25.8,36.1,1.5,4.4,0.6,212.8,5.9,2.5,79,87.8,4
73,52,盒8上,4006.8,54.6,2,26,39,1.5,4.7,0.7,215.1,6.4,2.5,77.1,86,4
73,52,盒8上,4006.9,55.1,1.9,26.3,40.9,1.4,4.9,0.7,216.6,6.9,2.5,76.3,86.2,4
73,52,盒8上,4007,55.5,1.9,26.5,39.5,1.3,5,0.6,215.4,7.2,2.5,76.9,86.7,4
73,52,盒8上,4007.2,56,1.9,26.6,35.7,1.3,5,0.5,212.7,7.2,2.5,77.4,85.8,4
73,52,盒8上,4007.3,56.4,1.8,26.7,33.2,1.2,4.9,0.4,209.9,6.8,2.5,76.3,82.5,4
73,52,盒8上,4007.4,56.8,1.8,26.7,33.7,1.2,4.8,0.4,207.2,6.4,2.6,73.3,77.8,4
73,52,盒8上,4007.5,57.3,1.9,26.7,35.5,1.2,4.7,0.4,206.3,6.2,2.6,69.1,73.3,4
73,52,盒8上,4007.7,57.8,1.9,26.7,35.4,1.2,4.6,0.3,208.6,6.5,2.6,65.5,71.6,4
73,52,盒8上,4007.8,58.3,1.9,26.7,33.1,1.2,4.6,0.4,211.1,7.1,2.5,64.4,74.7,4
73,52,盒8上,4007.9,58.9,1.9,26.7,30.7,1.1,4.7,0.4,210.3,7.7,2.5,67.9,83.1,4
73,52,盒8上,4008,59.6,1.8,26.6,29.5,1.1,4.9,0.5,207.7,7.3,2.5,75.3,94.1,4
73,52,盒8上,4008.2,60.4,1.8,26.6,28.8,1,5,0.5,205.6,6.3,2.5,84.3,103,4
73,52,盒8上,4008.3,61.2,1.8,26.4,27.9,1,5.1,0.6,203.9,5.6,2.6,90,103.2,4
73,52,盒8上,4008.4,62,1.8,26.3,28.3,1.1,5.4,0.7,204.2,5.4,2.6,88.5,93.1,4
73,52,盒8上,4008.5,62.8,2,26.3,35.8,1.3,6.3,1,212.4,5.6,2.5,78,75.5,4
76,45,山2_2,4376.6,57.8,2.1,218.4,25.1,6.5,2.5,83.5,2.8,164,147.2,12.3,1.7,6
76,45,山2_2,4376.6,57.7,2,215.2,25,6.1,2.6,72.1,2.5,164.9,149.7,10.6,1.5,6
76,45,山2_2,4376.7,57.7,2,212.1,24.9,5.9,2.6,63.7,2.1,164.3,149.8,9.1,1.5,6
76,45,山2_2,4376.8,57.6,2,209.1,24.7,6,2.6,58.9,1.8,161.8,146.8,8.1,1.5,6
76,45,山2_2,4376.9,57.6,2,206.7,24.5,6.2,2.6,57.4,1.6,159,144.1,7.4,1.5,6
76,45,山2_2,4377,57.6,2,204.7,24.4,6.5,2.6,58.3,1.6,156,141.5,7.1,1.5,6
76,45,山2_2,4377,57.6,2.1,203.9,24.4,6.7,2.6,60.5,1.5,152,138.6,7,1.5,6
76,45,山2_2,4377.1,57.6,2.2,204,24.4,6.8,2.6,62.3,1.5,147.9,135.5,6.9,1.5,6
76,45,山2_2,4377.2,57.6,2.3,205,24.6,6.7,2.6,62.6,1.5,143.7,132.1,6.9,1.5,6
76,45,山2_2,4377.3,57.6,2.3,206.8,24.9,6.6,2.6,60.9,1.5,141.7,130.4,6.7,1.6,6
76,45,山2_2,4377.3,57.7,2.3,209,25.3,6.5,2.6,57.4,1.5,140.5,129.2,6.5,1.6,6
76,45,山2_2,4377.4,57.7,2.2,211.9,25.8,6.3,2.6,53.1,1.4,141.1,129,6.2,1.6,6
76,45,山2_2,4377.5,57.8,2.2,214.9,26.2,6.2,2.5,49.1,1.4,142.6,129.4,5.9,1.5,6
76,45,山2_2,4377.6,57.8,2.2,218,26.6,6.3,2.5,46,1.3,144.8,130.3,5.6,1.4,6
76,45,山2_2,4377.6,57.9,2.2,220.2,26.6,6.3,2.5,44.1,1.3,149.4,134,5.3,1.3,6
76,45,山2_2,4377.7,58,2.2,221.9,26.5,6.5,2.5,43.4,1.4,155.2,139,5.2,1.2,6
76,45,山2_2,4377.8,58.1,2.3,222.6,26.4,6.8,2.5,43.7,1.4,163,146.3,5.1,1.2,6
76,45,山2_2,4377.9,58.2,2.4,222.2,26.2,7.2,2.5,45.1,1.4,171.4,154.4,5.2,1.2,6
76,45,山2_2,4377.9,58.3,2.5,221.2,26,7.7,2.5,47.5,1.4,180,162.7,5.4,1.1,6
76,45,山2_2,4378,58.4,2.6,219.5,25.8,8.3,2.5,51.2,1.5,186.7,169.2,5.9,1.1,6
76,45,山2_2,4378.1,58.6,2.7,218.3,25.6,9,2.5,56.2,1.7,190.8,173.9,6.8,1,6
76,45,山2_2,4378.2,58.7,2.8,218,25.2,9.9,2.6,62.4,1.9,191.2,175.8,8.1,1,6
76,45,山2_2,4378.2,58.9,3,218.5,24.9,10.9,2.6,69.8,2,187.3,173.6,9.8,1,6
76,45,山2_2,4378.3,59,3.1,219.3,24.7,12,2.6,78.1,2.2,181.6,169.8,11.7,1,6
76,45,山2_2,4378.4,59.2,3.2,220,24.6,13,2.6,87.1,2.3,173.6,163.4,13.6,1,6
76,45,山2_2,4378.5,59.4,3.3,220.4,24.5,14,2.6,96.7,2.4,165.3,156.6,15.4,1.2,6
76,46,山2_3,4382.6,55.7,2.6,215.4,24.5,11.4,2.6,107.4,2.4,124.3,112.6,7.9,6.5,6
76,46,山2_3,4382.7,55.6,2.5,213.2,24.5,10.1,2.6,97,2.4,123.6,112.9,8,5.6,6
