jing,ceng,wei,DEPT,SP,PE,CAL,GR,U,TH,K,AC,CNL,DEN,RLLS,RLLD,LABEL
27,42,盒6,4210.1458,61.0328,2.4236,26.5494,27.7245,0.8101,6.5965,0.4445,205.6059,11.1474,2.5448,87.7807,90.3178,1
27,42,盒6,4210.2708,60.9409,2.444,26.7992,27.4523,0.8249,6.4956,0.4602,209.6726,11.966,2.5468,76.4947,78.7842,1
27,42,盒6,4210.3958,60.8022,2.4535,27.033,28.7974,0.8969,6.2355,0.5199,214.1212,12.6256,2.5452,62.1946,64.406,1
27,42,盒6,4210.5208,60.6217,2.4494,27.1744,31.4663,1.0936,5.8488,0.6403,218.2907,13.3169,2.539,48.7955,50.9867,1
27,42,盒6,4210.6458,60.4073,2.4594,27.1701,35.0876,1.3156,5.5777,0.742,221.2041,14.3597,2.5306,39.0417,41.21,1
27,42,盒6,4210.7708,60.1805,2.4854,27.014,40.0421,1.5893,5.5661,0.7703,222.0376,15.5802,2.5232,33.7219,35.8721,1
27,42,盒6,4210.8958,59.9626,2.5027,26.7217,46.5095,1.9131,5.7034,0.76,220.99,16.5606,2.5214,31.9291,34.0861,1
27,42,盒6,4211.0208,59.7671,2.504,26.3588,53.4949,2.2638,6.0392,0.7314,219.0064,16.833,2.5255,32.7264,34.8889,1
27,42,盒6,4211.1458,59.5904,2.4761,26.081,57.7232,2.5082,6.5426,0.6996,217.5983,16.3249,2.5316,34.6531,36.7602,1
27,42,盒6,4211.2708,59.4227,2.4165,25.9774,57.002,2.6156,6.7742,0.6732,217.34,15.1342,2.5348,36.8021,38.8041,1
27,42,盒6,4211.3958,59.2519,2.3539,26.0681,51.0793,2.5642,6.5729,0.6182,218.0683,13.7695,2.5349,38.7349,40.671,1
27,42,盒6,4211.5208,59.0681,2.3002,26.3039,43.9066,2.3839,6.0707,0.5387,218.9884,12.6885,2.5316,40.546,42.5077,1
27,42,盒6,4211.6458,58.8675,2.2412,26.6993,38.3972,2.1355,5.655,0.4941,219.7172,12.1692,2.5257,42.241,44.284,1
27,42,盒6,4211.7708,58.6574,2.1855,27.2254,36.2184,1.9169,5.4256,0.4991,220.3102,12.1712,2.5183,43.3513,45.4217,1
27,42,盒6,4211.8958,58.4579,2.1508,27.6953,36.4487,1.7747,5.4206,0.5188,221.3056,12.5816,2.5074,43.3215,45.3098,1
27,42,盒6,4212.0208,58.2911,2.1461,27.9065,38.0288,1.587,5.536,0.5537,223.3048,13.2235,2.4939,41.7466,43.5725,1
27,42,盒6,4212.1458,58.177,2.2154,27.79,39.6571,1.3427,5.687,0.6056,226.3101,13.7975,2.4712,38.8649,40.5523,1
27,42,盒6,4212.2708,58.12,2.3555,27.5018,40.447,1.1331,5.795,0.6619,229.5484,14.1151,2.4357,35.5335,37.1651,1
27,42,盒6,4212.3958,58.1277,2.4776,27.2099,39.859,0.9712,5.9047,0.7142,232.3473,14.1278,2.4195,32.6307,34.2986,1
27,42,盒6,4212.5208,58.1959,2.4955,27.0084,38.4987,0.8075,6.0272,0.7712,234.1799,14.0029,2.4453,30.7933,32.5689,1
27,42,盒6,4212.6458,58.3175,2.4548,26.8879,37.4311,0.6378,6.1654,0.8301,234.5264,13.9158,2.4857,30.1694,32.119,1
27,42,盒6,4212.7708,58.493,2.4187,26.8411,37.9681,0.4605,6.4508,0.878,232.9025,13.8701,2.5123,30.944,33.147,1
27,42,盒6,4212.8958,58.7089,2.3961,26.8953,40.0167,0.2362,7.1956,0.9098,229.8544,13.6928,2.5439,32.9949,35.4957,1
27,42,盒6,4213.0208,58.9491,2.3785,27.0882,42.0568,0.2015,8.2254,0.9142,225.86,13.2706,2.5651,36.1953,38.975,1
27,42,盒6,4213.1458,59.1909,2.3733,27.3306,41.6239,0.2015,9.1395,0.8959,221.2709,12.7603,2.5612,40.353,43.3272,1
27,42,盒6,4213.2708,59.4116,2.3788,27.4611,38.9006,0.2015,9.9104,0.858,216.7804,12.459,2.5302,44.7637,47.8349,1
