jing,ceng,wei,DEPT,SP,PE,CAL,GR,U,TH,K,AC,CNL,DEN,RLLS,RLLD,LABEL
40,43,2-盒8下,4100.7598,84.0359,2.0982,24.59322068,64.3246,1.8311,11.0641,1.537,206.4404,10.9235,2.5835,47.135,41.3985,5
40,43,2-盒8下,4100.8848,83.581,2.0125,24.59322068,61.4119,1.6355,8.567,1.4589,205.813,10.2964,2.5742,46.3527,40.4323,5
40,43,2-盒8下,4101.0098,83.1011,1.9541,24.59322068,57.9991,1.5933,7.6537,1.4009,205.768,9.6913,2.5731,44.0298,38.0643,5
40,43,2-盒8下,4101.1348,82.5984,1.9055,24.59322068,54.3718,1.58,7.4316,1.3608,207.1664,9.0545,2.5777,40.1852,34.4931,5
40,43,2-盒8下,4101.2598,82.0823,1.8538,24.59322068,52.1072,1.5717,7.1867,1.2932,208.253,8.4029,2.5858,35.5593,30.4329,5
40,43,2-盒8下,4101.3848,81.5599,1.8157,24.59322068,50.6281,1.555,6.9952,1.225,208.877,7.8964,2.5945,31.2968,26.8495,5
40,43,2-盒8下,4101.5098,81.0351,1.807,24.59322068,48.6979,1.5094,6.941,1.1965,210.5328,7.7478,2.601,28.1225,24.2942,5
40,43,2-盒8下,4101.6348,80.5153,1.8225,24.59322068,47.8618,1.4444,6.9775,1.1926,213.4115,7.8532,2.6013,26.7242,23.2605,5
40,43,2-盒8下,4101.7598,80.0092,1.8389,24.59322068,50.0587,1.3962,6.9778,1.1766,216.0574,8.0073,2.5951,27.0125,23.5764,5
40,43,2-盒8下,4101.8848,79.5316,1.8588,24.59322068,54.8245,1.3781,7.009,1.1496,217.5768,8.1449,2.5838,28.3021,24.6877,5
40,43,2-盒8下,4102.0098,79.0974,1.9102,24.59322068,61.2873,1.4643,7.6181,1.1021,218.9581,8.3705,2.5699,30.0354,26.221,5
40,43,2-盒8下,4102.1348,78.7318,1.9994,24.59322068,69.5613,1.796,8.9857,0.9993,220.1331,8.6392,2.5574,32.0451,28.0322,5
40,43,2-盒8下,4102.2598,78.4564,2.108,24.59322068,78.1276,2.2133,10.3033,0.8798,218.7899,8.8116,2.5499,34.1596,29.9174,5
40,45,3-山1,4119.2598,95.4253,2.2486,25.02112676,60.9871,3.6155,11.9579,1.2144,187.723,7.3326,2.6864,107.2697,95.0824,4
40,45,3-山1,4119.3848,94.882,2.3565,25.02112676,54.5532,2.3811,8.7962,1.2427,188.5416,6.0944,2.6874,92.7076,80.8466,4
40,45,3-山1,4119.5098,94.308,2.3702,25.02112676,56.7864,1.9111,6.9306,1.275,191.6205,5.5843,2.6768,76.0733,65.9137,4
40,45,3-山1,4119.6348,93.6991,2.3291,25.02112676,64.7494,1.8376,6.3636,1.2936,195.4487,5.7332,2.6381,63.6789,55.3951,4
40,45,3-山1,4119.7598,93.0562,2.3975,25.02112676,76.6217,1.9938,6.3507,1.3112,198.8841,6.3009,2.6253,58.1685,50.9235,4
40,45,3-山1,4119.8848,92.3764,2.4869,25.02112676,87.4912,2.389,7.0152,1.3566,201.5339,7.1458,2.6172,56.8498,49.8406,4
40,45,3-山1,4120.0098,91.664,2.5718,25.02112676,90.7145,2.7639,9.0463,1.4444,202.4388,8.1023,2.6119,58.1142,50.7441,4
40,45,3-山1,4120.1348,90.9221,2.6845,25.02112676,85.9574,2.8697,11.4339,1.5379,202.0286,9.0634,2.6096,60.8183,52.7132,4
40,45,3-山1,4120.2598,90.1492,2.8147,25.02112676,78.04,2.8169,12.5946,1.5792,201.1157,9.961,2.6066,63.6396,54.7511,4
40,45,3-山1,4120.3848,89.3545,2.8709,25.02112676,71.8646,2.7278,12.6216,1.5614,199.2874,10.7876,2.6008,65.4755,56.0806,4
