jing,ceng,wei,DEPT,SP,PE,CAL,GR,U,TH,K,AC,CNL,DEN,RLLS,RLLD,LABEL
20,41,2-盒8下,4387.665,45.1976,2.6331,24.5515,89.2014,2.7624,14.9056,2.0618,215.7688,5.8725,2.6461,39.4368,46.4647,3
20,41,2-盒8下,4387.79,44.0482,2.6911,24.5663,66.2272,2.1918,12.214,1.6869,217.1203,5.421,2.634,40.07,47.7761,3
20,41,2-盒8下,4387.915,42.933,2.7504,24.5801,60.0938,1.7499,10.0891,1.3831,218.7314,5.278,2.6181,40.0033,48.483,3
20,41,2-盒8下,4388.04,41.8657,2.7374,24.5573,58.0008,1.4348,8.6494,1.1798,220.2437,5.1407,2.6036,39.7814,48.7977,3
20,41,2-盒8下,4388.165,40.8515,2.6614,24.4316,52.5202,1.2707,7.929,1.0965,221.981,5.0352,2.5948,39.202,48.5111,3
20,41,2-盒8下,4388.29,39.9047,2.5364,24.3154,47.6735,1.2297,7.6684,1.1022,224.0193,5.0567,2.5909,38.3165,47.6139,3
20,41,2-盒8下,4388.415,39.0221,2.4034,24.2865,48.1519,1.2627,7.4676,1.1306,225.7768,5.2089,2.589,37.0933,46.2635,3
20,41,2-盒8下,4388.54,38.209,2.2935,24.2881,52.1617,1.3434,7.2522,1.1652,227.5804,5.353,2.5863,35.2449,44.2773,3
20,41,2-盒8下,4388.665,37.4696,2.2342,24.3107,55.16,1.4633,7.1227,1.2027,228.8082,5.3491,2.5818,33.4959,42.2284,3
20,41,2-盒8下,4388.79,36.7964,2.2392,24.3833,57.519,1.6061,7.0777,1.2408,229.1626,5.3766,2.5758,32.0715,40.3044,3
20,41,2-盒8下,4388.915,36.1927,2.2996,24.4425,60.2669,1.685,6.9778,1.2584,229.3001,5.4801,2.5712,31.1478,38.6826,3
20,41,2-盒8下,4389.04,35.657,2.3684,24.5084,61.9293,1.6934,6.9399,1.2747,229.3649,5.5575,2.5669,30.4647,37.3158,3
20,41,2-盒8下,4389.165,35.1829,2.4253,24.4997,62.362,1.7106,7.0962,1.3219,229.1574,5.5087,2.5627,29.941,36.184,3
20,41,2-盒8下,4389.29,34.7747,2.4618,24.5285,59.4933,1.7282,7.3299,1.3768,228.5412,5.1977,2.5561,29.4895,35.3551,3
20,41,2-盒8下,4389.415,34.4278,2.4582,24.5829,55.0036,1.7517,7.5406,1.4175,227.4043,5.0417,2.5518,29.1262,34.7085,3
20,41,2-盒8下,4389.54,34.1383,2.4037,24.6979,54.6419,1.8376,7.6868,1.4443,227.0007,5.2153,2.554,28.9119,34.1725,3
20,41,2-盒8下,4389.665,33.9103,2.3305,24.7751,59.1758,1.9772,7.7277,1.4546,227.2736,5.3977,2.566,29.021,33.9054,3
20,41,2-盒8下,4389.79,33.7359,2.3102,24.8231,64.9576,2.0929,7.7037,1.4561,226.6105,5.2381,2.5793,29.2717,33.7787,3
20,41,2-盒8下,4389.915,33.6123,2.3741,24.8569,68.1792,2.1494,7.7,1.4628,225.1384,4.8108,2.5866,29.7234,33.8361,3
20,41,2-盒8下,4390.04,33.5447,2.4923,24.8727,67.943,2.1243,7.7433,1.4755,224.8194,4.7083,2.5918,30.2394,34.0188,3
20,41,2-盒8下,4390.165,33.5242,2.5501,24.8225,65.7927,2.0226,7.7685,1.4779,225.6699,4.9277,2.5967,30.4687,34.0131,3
20,41,2-盒8下,4390.29,33.5509,2.4812,24.7503,62.8686,1.8958,7.8495,1.4832,226.4719,5.0657,2.5984,30.2388,33.7057,3
20,41,2-盒8下,4390.415,33.6263,2.3455,24.6762,62.6243,1.8068,8.0346,1.5034,227.5276,4.8604,2.5931,29.8002,33.1105,3
20,41,2-盒8下,4390.54,33.7439,2.2744,24.6632,65.9001,1.7543,8.1233,1.5022,227.9705,4.7238,2.5859,29.4781,32.5276,3
20,41,2-盒8下,4390.665,33.9057,2.3157,24.6474,69.0081,1.7561,8.1924,1.4957,227.6849,4.8057,2.5795,29.26,32.0945,3
20,41,2-盒8下,4390.79,34.1128,2.4106,24.6425,69.7464,1.8129,8.2771,1.5048,227.8436,5.0041,2.5788,29.2578,31.8749,3
20,41,2-盒8下,4390.915,34.3624,2.4868,24.6486,71.4813,1.8494,8.1374,1.4863,228.7893,4.9984,2.5845,29.5945,31.9698,3
20,41,2-盒8下,4391.04,34.6594,2.491,24.7353,73.2418,1.817,7.984,1.4719,231.8446,4.7522,2.5908,30.0241,32.3329,3
20,41,2-盒8下,4391.165,35.0059,2.4081,24.78,70.6988,1.782,7.8698,1.4721,236.8674,4.351,2.5853,30.2044,32.8261,3
20,41,2-盒8下,4391.29,35.4031,2.2734,24.8051,64.1573,1.732,7.4141,1.4054,239.5855,3.6564,2.571,30.4232,33.4032,3
20,41,2-盒8下,4391.415,35.8617,2.1615,24.7274,58.7533,1.6461,6.68,1.2655,239.6349,3.2767,2.5597,30.7989,34.1295,3
20,41,2-盒8下,4391.54,36.3826,2.1242,24.709,53.2808,1.5475,5.902,1.1124,238.4746,3.0615,2.5603,31.9344,35.5215,3
20,41,2-盒8下,4391.665,36.9686,2.1574,24.7068,45.6789,1.4296,5.0842,0.9507,234.8362,2.55,2.5699,35.2669,38.2396,3
20,41,2-盒8下,4391.79,37.6327,2.2624,24.7218,37.3879,1.3032,4.4803,0.8241,230.3689,2.0468,2.5771,44.4051,44.2672,3
20,41,2-盒8下,4391.915,38.3691,2.4169,24.7171,32.2203,1.2193,4.1749,0.7566,226.3027,1.6897,2.5741,57.9798,53.2869,3
20,41,2-盒8下,4392.04,39.1823,2.5652,24.6533,30.418,1.1812,4.0618,0.7232,221.2794,1.487,2.5676,76.8453,65.5848,3
20,41,2-盒8下,4392.165,40.0749,2.6675,24.5514,29.7716,1.173,3.9979,0.7004,214.6582,1.6593,2.5693,93.3067,77.6724,3
20,41,2-盒8下,4392.29,41.0357,2.8111,24.4323,31.9444,1.2078,4.0754,0.7055,205.6248,2.8406,2.5779,95.615,83.1818,3
20,41,2-盒8下,4392.415,42.0614,3.0602,24.4262,41.7611,1.4232,4.8094,0.8275,203.3336,5.9689,2.5917,76.7618,77.8687,3
20,41,2-盒8下,4392.54,43.1417,3.3187,24.5462,69.9297,2.0095,6.8953,1.1823,205.1269,11.9557,2.6089,51.8656,64.3594,3
20,39,2-盒8下,4360.29,43.1142,2.855,24.4168,73.0069,2.6282,11.4606,1.5963,215.604,6.5468,2.6266,45.4528,48.1572,3
