jing,ceng,wei,DEPT,SP,PE,CAL,GR,U,TH,K,AC,CNL,DEN,RLLS,RLLD,LABEL
53,58,3-山1,4037.375,58.9449,2.5911,33.8231,52.0838,1.2971,6.0563,1.3034,242.2676,19.697,2.5196,67.1238,79.9847,1
53,58,3-山1,4037.5,58.6485,2.552,34.0769,49.0502,1.2459,5.7654,1.2096,244.9933,19.0937,2.5402,69.0969,83.2105,1
53,58,3-山1,4037.625,58.4051,2.479,34.274,46.5101,1.208,5.4937,1.1365,243.901,18.5255,2.5074,69.9672,85.6662,1
53,58,3-山1,4037.75,58.2078,2.4387,34.3588,46.3776,1.2514,5.445,1.126,241.3428,18.2206,2.4246,70.6223,87.7305,1
53,58,3-山1,4037.875,58.0711,2.4555,34.5193,47.3036,1.3148,5.5638,1.1403,236.1544,17.1215,2.3328,72.2845,90.2514,1
53,58,3-山1,4038,58.0128,2.5106,33.922,46.6145,1.2909,5.5577,1.1193,227.6398,15.3255,2.28,76.1957,94.5899,1
53,58,3-山1,4038.125,58.0414,2.5722,32.8139,44.5493,1.2362,5.3476,1.0653,223.671,13.7208,2.2696,81.4651,100.3779,1
53,58,3-山1,4038.25,58.1672,2.6251,31.6376,41.547,1.1451,5.037,0.9854,222.9917,12.5591,2.2915,86.3619,105.6708,1
53,58,3-山1,4038.375,58.3799,2.6806,31.1875,38.8984,1.0565,4.7514,0.9198,223.9124,11.967,2.3229,90.0384,108.8879,1
53,58,3-山1,4038.5,58.6599,2.7653,31.075,37.2244,1.0083,4.5322,0.8786,227.5521,12.0405,2.3418,91.4038,109.265,1
53,58,3-山1,4038.625,59.0215,2.8786,31.0163,37.1808,1.0252,4.4916,0.8699,229.0001,11.7235,2.3357,89.5826,106.5565,1
53,58,3-山1,4038.75,59.4422,2.955,30.9546,37.1835,1.0398,4.4875,0.8577,230.1355,11.523,2.3099,86.2553,102.6639,1
53,58,3-山1,4038.875,59.9256,2.956,30.9256,36.3051,1.03,4.4408,0.8175,232.9372,11.9846,2.2762,82.2214,98.3726,1
53,58,3-山1,4039,60.4736,2.9003,30.6576,36.7016,1.037,4.5616,0.8115,234.7401,12.7296,2.2526,78.4483,94.376,1
53,58,3-山1,4039.125,61.0705,2.8383,30.2373,37.3714,1.0188,4.7792,0.8172,234.1114,13.3953,2.2492,75.9795,91.7822,1
53,58,3-山1,4039.25,61.7135,2.7797,30.3633,37.6543,0.9818,4.9841,0.8168,232.9776,12.8574,2.2599,74.9799,90.9808,1
53,58,3-山1,4039.375,62.4017,2.7201,30.3942,40.6243,1.0357,5.4831,0.8776,233.8983,14.7717,2.2688,75.0542,90.7822,1
53,74,8-克里摩里组,4303.625,12.4099,4.8009,25.1929,31.1999,1.2414,2.7161,0.7266,179.8731,1.839,2.6587,931.7395,1611.9,4
53,74,8-克里摩里组,4303.75,12.2908,4.847,25.2134,28.2044,1.077,2.4526,0.6759,177.0096,1.7635,2.6639,838.0652,1373.3279,4
53,74,8-克里摩里组,4303.875,12.1665,4.917,25.2917,26.1975,0.9644,2.2703,0.6453,175.2367,1.6853,2.6753,802.1214,1253.3616,4
53,74,8-克里摩里组,4304,12.0374,4.9786,25.3219,24.3572,0.8578,2.1448,0.6147,174.2693,1.7504,2.6793,832.5624,1256.308,4
53,74,8-克里摩里组,4304.125,11.9051,5,25.3332,23.5844,0.8064,2.1216,0.6034,174.0074,2.1226,2.6716,915.2224,1356.5586,4
53,74,8-克里摩里组,4304.25,11.7726,4.9425,25.2887,23.9554,0.7961,2.202,0.6205,174.5547,2.5339,2.6632,1028.1667,1533.8491,4
53,74,8-克里摩里组,4304.375,11.6423,4.8162,25.3037,24.5217,0.7856,2.3558,0.6354,176.7957,2.3333,2.6695,1161.3943,1785.8971,4
53,74,8-克里摩里组,4304.5,11.5146,4.6819,25.2969,25.0876,0.7772,2.4717,0.6514,181.0816,1.9825,2.6889,1299.8529,2112.4309,4
53,74,8-克里摩里组,4304.625,11.3888,4.6363,25.2563,25.9617,0.7424,2.5937,0.6924,183.5716,1.9234,2.7059,1420.304,2513.0466,4
53,74,8-克里摩里组,4304.75,11.2669,4.6906,25.1985,27.4166,0.7108,2.7645,0.7592,182.3712,2.0449,2.71,1529.059,2961.6726,4
53,74,8-克里摩里组,4304.875,11.1498,4.791,25.1554,29.1583,0.6945,2.9682,0.8331,178.2147,2.1941,2.7007,1654.5143,3423.0564,4
53,74,8-克里摩里组,4305,11.0367,4.8346,25.1596,31.6616,0.6616,3.3588,0.9307,175.6058,2.1686,2.6878,1796.741,3845.2981,4
53,74,8-克里摩里组,4305.125,10.9269,4.7826,25.1553,33.0259,0.6447,3.5866,0.9866,174.2636,2.1722,2.6813,1956.6591,4238.4648,4
53,74,8-克里摩里组,4305.25,10.8204,4.6565,25.1441,32.0391,0.6097,3.5078,0.966,173.6295,2.0779,2.6858,2139.6143,4613.4697,4
53,74,8-克里摩里组,4305.375,10.7166,4.5423,25.1365,30.0554,0.5693,3.2859,0.9074,173.3505,1.9039,2.6963,2332.1184,4887.9336,4
53,74,8-克里摩里组,4305.5,10.6146,4.4955,25.1378,27.4788,0.5322,2.9391,0.8315,172.2493,1.7645,2.7077,2545.5271,5070.5381,4
53,74,8-克里摩里组,4305.625,10.5144,4.5298,25.1349,25.2394,0.4961,2.62,0.7623,168.5414,1.501,2.7158,2794.0547,5212.0469,4
53,74,8-克里摩里组,4305.75,10.418,4.6178,25.1262,24.2353,0.4939,2.4289,0.7311,166.3434,1.5039,2.7176,3021.2524,5202.2783,4
53,74,8-克里摩里组,4305.875,10.3257,4.713,25.11,24.5361,0.5209,2.3775,0.7413,165.3443,1.7085,2.7159,3118.7954,4898.0542,4
53,74,8-克里摩里组,4306,10.2301,4.7585,25.0952,26.4489,0.5685,2.4885,0.8089,165.3714,1.8888,2.7188,3017.209,4239.1714,4
53,60,7-太原组,4103.625,61.8155,2.1885,25.1143,42.4525,1.4637,6.3705,0.7119,201.8384,3.822,2.6152,353.6821,498.789,2
53,60,7-太原组,4103.75,61.5543,2.1976,25.1466,37.0045,1.255,5.5393,0.6307,203.3814,3.2228,2.6115,368.0569,521.7993,2
53,60,7-太原组,4103.875,61.3155,2.2191,25.2719,33.3494,1.0997,5.0159,0.5763,203.6848,3.0944,2.6084,373.1748,535.5417,2
53,60,7-太原组,4104,61.092,2.2296,25.3903,33.3736,1.0524,5.067,0.5881,203.6146,3.471,2.6104,376.8788,544.4211,2
53,60,7-太原组,4104.125,60.8807,2.2263,25.412,35.73,1.045,5.4096,0.6644,203.4942,3.6218,2.6193,385.3756,559.7776,2
53,60,7-太原组,4104.25,60.6717,2.2268,25.2818,37.0776,0.9938,5.5807,0.7289,204.2274,3.5009,2.6288,404.1938,590.0922,2
53,60,7-太原组,4104.375,60.4918,2.2331,25.2487,36.0573,0.8912,5.3137,0.7554,205.0006,3.0307,2.6323,434.7076,635.2138,2
53,60,7-太原组,4104.5,60.3392,2.2302,25.6067,33.4966,0.776,4.7473,0.7549,205.6517,2.4632,2.6295,467.9001,684.7974,2
53,60,7-太原组,4104.625,60.2071,2.2069,25.9784,30.4792,0.6822,4.1671,0.7296,205.509,2.0461,2.6252,497.8817,729.7183,2
53,60,7-太原组,4104.75,60.0931,2.1676,26.0845,28.1991,0.6272,3.702,0.7082,204.3409,1.7851,2.6223,518.7227,765.2449,2
53,60,7-太原组,4104.875,59.9927,2.1315,26.0229,27.8732,0.6298,3.4974,0.728,202.9795,1.92,2.6229,526.6918,784.627,2
53,60,7-太原组,4105,59.9009,2.1055,26.0209,28.9773,0.6916,3.4887,0.7658,201.9692,2.3326,2.6275,526.0205,784.9303,2
53,60,7-太原组,4105.125,59.8193,2.077,26.0388,30.0864,0.7298,3.525,0.7975,200.0875,2.79,2.6312,520.525,774.7288,2
53,60,7-太原组,4105.25,59.7576,2.0409,25.9741,31.2179,0.7734,3.5964,0.8202,199.6491,3.3178,2.6245,515.722,763.8022,2
53,60,7-太原组,4105.375,59.7279,2.0132,26.1395,31.8184,0.7959,3.6997,0.815,199.6219,3.6367,2.6077,512.3556,755.6563,2
53,60,7-太原组,4105.5,59.7125,2.0074,26.9914,31.1852,0.7782,3.6631,0.7811,197.5602,3.6352,2.5894,510.9099,751.8562,2
