jing,ceng,wei,DEPT,SP,PE,CAL,GR,U,TH,K,AC,CNL,DEN,RLLS,RLLD,LABEL
37,53,2-盒8下,3898.5869,44.6562,2.0538,26.2094,48.9727,1.5837,4.7951,0.4228,241.0364,8.6209,2.4733,71.0255,100.0202,1
37,53,2-盒8下,3898.7119,44.7045,2.0551,26.1781,47.0755,1.7618,5.4968,0.4483,238.8422,9.6808,2.4511,77.1896,108.5114,1
37,53,2-盒8下,3898.8369,44.766,2.2038,25.9956,43.5963,1.8797,6.1437,0.4786,236.898,10.9228,2.4856,83.1021,116.2897,1
37,53,2-盒8下,3898.9619,44.8614,2.5093,25.9295,40.9611,1.8771,6.563,0.5037,234.9373,11.4425,2.5388,86.9332,121.0227,1
37,53,2-盒8下,3899.0869,44.9905,2.7216,25.9553,38.0825,1.8127,6.6508,0.5108,233.2694,11.0395,2.5409,88.9443,123.1766,1
37,53,2-盒8下,3899.2119,45.1619,2.5428,25.9569,36.2289,1.6757,6.5328,0.5078,232.3568,10.6325,2.4958,89.502,123.2561,1
37,53,2-盒8下,3899.3369,45.3485,2.1585,25.7953,38.9198,1.5909,6.5545,0.5151,232.7286,9.7448,2.4561,87.6305,120.4929,1
37,53,2-盒8下,3899.4619,45.5511,1.9287,25.6728,48.899,1.6318,7.1008,0.5606,234.1877,8.8998,2.4385,84.8353,116.3791,1
37,53,2-盒8下,3899.5869,45.7603,1.9186,25.3924,59.6955,1.7573,7.9555,0.6256,235.5028,8.4339,2.4382,82.4456,112.3747,1
37,53,2-盒8下,3899.7119,45.9995,1.9592,25.1515,61.1049,1.9142,8.7186,0.6772,235.9402,8.326,2.4585,79.8257,108.6365,1
37,53,2-盒8下,3899.8369,46.2985,2.0072,24.9062,53.4986,1.9432,8.9579,0.6792,235.7271,8.6105,2.4817,76.7079,105.4984,1
37,53,2-盒8下,3899.9619,46.6607,2.0533,24.8146,46.9911,1.9058,8.9779,0.6712,234.7405,8.587,2.4888,74.947,104.3733,1
